csv_row_index,merged_row_index,match_flag,recovered_years_joined,Seller Link,Store Name,Year Joined,Total Products,Rating,Review Count,Followers,Total Revenue,Total Review,1 Start,2 Start,3 Start,4 Start,5 Start
1089,1104,,7,https://tiki.vn/cua-hang/dac-san-thu-duong?source_screen=product_detail&source_engine=organic,Đặc Sản Thu Dương,2019,110,4.7,5600,3000,3746000,2254.0,53.0,19.0,67.0,323.0,1792.0
1090,1105,,6,https://tiki.vn/cua-hang/365-cosmetics?source_screen=product_detail&source_engine=organic,365 Cosmetics,2020,98,4.6,1900,320,12516000,1013.0,21.0,4.0,31.0,185.0,772.0
1091,1106,,6,https://tiki.vn/cua-hang/vicosap?source_screen=product_detail&source_engine=organic,Vicosap,2020,33,4.5,33,39,1042000,3.0,0.0,0.0,0.0,0.0,3.0
1092,1107,,5,https://tiki.vn/cua-hang/hientran?source_screen=product_detail&source_engine=organic,HienTran,2021,4,4.5,63,0,348000,6.0,0.0,0.0,1.0,1.0,4.0
1093,1108,,4,https://tiki.vn/cua-hang/24h-quality-of-life?source_screen=product_detail&source_engine=organic,24H QUALITY OF LIFE,2022,42,5.0,1,106,225000,,,,,,
1094,1513,,6,https://tiki.vn/cua-hang/cuong-nga-phu-kien-o-to?source_screen=product_detail&source_engine=organic,Cường Nga Phụ Kiện Ô Tô,2020,2,0.0,0,3,0,,,,,,
1095,1110,,9,https://tiki.vn/cua-hang/taylan?source_screen=product_detail&source_engine=organic,TAYLAN,2017,35,4.6,269,35,1296000,169.0,2.0,3.0,5.0,24.0,135.0
1096,1111,,3,https://tiki.vn/cua-hang/mai-outdoors?source_screen=product_detail&source_engine=organic,MAI Outdoors,2023,5,5.0,3,2,0,3.0,0.0,0.0,0.0,0.0,3.0
1097,1112,,7,https://tiki.vn/cua-hang/tulu-shop?source_screen=product_detail&source_engine=organic,EODOR OFFICIAL STORE,2019,3,0.0,0,0,0,,,,,,
1098,1113,,8,https://tiki.vn/cua-hang/viet-nhat?source_screen=product_detail&source_engine=organic,Việt Nhật,2018,21,3.5,4,0,0,1.0,0.0,0.0,0.0,1.0,0.0
1099,1114,,4,https://tiki.vn/cua-hang/jlab-official-store?source_screen=product_detail&source_engine=organic,JLab Official Store,2022,14,4.7,108,162,1154300,14.0,0.0,0.0,0.0,5.0,9.0
1100,1283,,6,https://tiki.vn/cua-hang/xuong-may-manh-huong?source_screen=product_detail&source_engine=organic,Xưởng may Mạnh Hương,2020,1,0.0,0,1,0,,,,,,
1101,1116,,3,https://tiki.vn/cua-hang/g-o-o-d-d-a-y-mtv?source_screen=product_detail&source_engine=organic,G O O D D A Y MTV,2023,13,0.0,0,0,0,,,,,,
1102,1117,,7,https://tiki.vn/cua-hang/thiet-bi-ve-sinh-hai-ha?source_screen=product_detail&source_engine=organic,Nhà Bếp Phòng Tắm VALENZA Official,2019,72,4.4,1500,310,1510000,211.0,9.0,1.0,2.0,32.0,167.0
1103,1118,,8,https://tiki.vn/cua-hang/tshop?source_screen=product_detail&source_engine=organic,Tshop,2018,250,4.1,354,253,22937170,276.0,19.0,10.0,21.0,63.0,163.0
1104,1119,,7,https://tiki.vn/cua-hang/cong-ty-co-phan-3t-food?source_screen=product_detail&source_engine=organic,CÔNG TY CỔ PHẦN 3T FOOD,2019,2,4.8,745,87,272000,367.0,0.0,2.0,6.0,48.0,311.0
1105,1120,,8,https://tiki.vn/cua-hang/venado?source_screen=product_detail&source_engine=organic,Venado,2018,43,4.3,803,0,878000,295.0,12.0,2.0,8.0,51.0,222.0
1106,1121,,5,https://tiki.vn/cua-hang/olo-official-store?source_screen=product_detail&source_engine=organic,OZOVN STORE,2021,23,4.8,9900,4200,18745000,2369.0,21.0,10.0,25.0,237.0,2076.0
1107,1122,,8,https://tiki.vn/cua-hang/kobivina?source_screen=product_detail&source_engine=organic,Kobi official store,2018,217,4.7,8600,1700,8108000,7280.0,98.0,58.0,208.0,744.0,6172.0
