orig_index,h_0,h_1,h_2,h_3,h_4,cluster
290,0.045020342,-0.13949552,-0.34302923,0.08933574,0.15500852,0
291,-0.03420996,-0.25063208,-0.17304578,0.050301716,0.13394044,3
292,-0.028248295,-0.15029465,-0.19125614,0.068471074,0.13447163,3
293,0.005833663,-0.1753496,-0.15449563,0.0826244,0.14760737,3
294,-0.03324376,-0.19448058,-0.13153696,0.084213205,0.12353566,3
295,0.027931258,-0.17054209,-0.28684118,0.10213876,0.16260207,0
296,0.03417848,-0.13047045,-0.33232707,0.09627126,0.15579875,0
297,-0.09860453,-0.20079693,-0.18775982,0.027725842,0.12681489,3
298,-0.016489677,-0.13401978,-0.16067857,0.05386266,0.11640758,3
299,0.0715234,-0.10264172,-0.44758356,0.14600763,0.19191204,0
300,-0.15300196,-0.18747579,-0.17516023,-0.00024515018,0.104226544,3
301,0.0023170114,-0.1633577,-0.30125296,0.06996927,0.17779021,0
302,-0.01665245,-0.118427634,-0.15628633,0.055634886,0.1197636,3
303,0.0859414,-0.17082393,-0.3654289,0.14784941,0.20440328,0
304,-0.18453899,-0.21602777,-0.21757016,-0.021080256,0.13495933,4
305,-0.23374611,-0.26787052,-0.26030982,-0.063165426,0.15147348,4
306,-0.0101583,-0.23040399,-0.13280824,0.08407417,0.1391014,3
307,-0.27515116,-0.29096255,-0.23723687,-0.051349543,0.1575007,4
308,-0.039403193,-0.2085396,-0.17066403,0.046411388,0.119926125,3
309,-0.11130016,-0.23542663,-0.20112891,0.029627763,0.1380342,3
310,-0.6038332,-0.38859817,-0.17021295,-0.17766875,-0.06961733,1
311,0.037763946,-0.102807954,-0.3820187,0.13644579,0.17471522,0
312,0.0043845624,-0.20757689,-0.19268724,0.053657506,0.11205312,3
313,0.025765806,-0.18707806,-0.2553272,0.0893859,0.14112155,3
314,-0.019786805,-0.16862354,-0.14251104,0.04569137,0.13427623,3
315,-0.15486914,-0.20149814,-0.19980437,-0.0019804016,0.12526613,4
316,-0.09654746,-0.22958502,-0.21650736,0.01850107,0.121817335,3
317,0.023142494,-0.20279583,-0.2569753,0.12205664,0.115950584,3
318,-0.016672708,-0.12930699,-0.17196111,0.076240286,0.106991276,3
319,-0.025428303,-0.18777353,-0.1643268,0.067028835,0.123275384,3
320,0.0061658174,-0.20576802,-0.20801473,0.07443693,0.13894738,3
321,-0.0034478977,-0.21414126,-0.23827848,0.05487588,0.13241066,3
322,-0.7073257,-0.43869227,-0.3311882,-0.31569874,-0.12595403,1
323,0.030599296,-0.16931923,-0.27020758,0.06491548,0.18051867,0
324,-0.003539607,-0.2143068,-0.17748891,0.044788167,0.11599173,3
325,0.07101224,-0.12462728,-0.45302615,0.15244466,0.20645282,0
326,-0.25874314,-0.24254683,-0.23444024,-0.027303852,0.15018746,4
327,-0.3311781,-0.38323057,-0.24310452,-0.048305303,0.11196366,4
328,-0.22805628,-0.27120426,-0.24704376,-0.038625598,0.14887878,4
329,0.016009986,-0.18675849,-0.2573237,0.098533496,0.15422958,3
330,-0.004522711,-0.12287251,-0.16027726,0.07830249,0.10092061,3
331,-0.73584336,-0.43986875,-0.3246466,-0.25067735,-0.18533032,1
332,-0.008227065,-0.1836927,-0.17815833,0.07400499,0.13232738,3
333,-0.03659174,-0.15265074,-0.16035113,0.07595517,0.14112042,3
334,-0.13824083,-0.25271356,-0.2276803,-0.0077629825,0.14074065,4
335,-0.2789072,-0.3381197,-0.23142,-0.052184522,0.16391896,4
336,-0.05266299,-0.1801801,-0.1686527,0.04445884,0.11516136,3
337,0.0046745166,-0.12404818,-0.25828102,0.116328835,0.14869837,3
338,-0.16677889,-0.2324306,-0.20818192,-0.019817352,0.09459957,4
339,-0.28717482,-0.31257948,-0.23853044,-0.07557087,0.15367208,4
