orig_index,h_0,h_1,h_2,h_3,h_4,cluster
286,-0.25534898,-0.12919599,0.22872937,0.036226813,-0.023176823,0
287,-0.108498946,0.008731991,0.20958684,0.047018588,-0.07397063,2
288,-0.28621006,-0.06855883,0.1867257,0.017399035,-0.018722475,0
289,0.24026936,0.0874653,0.43682694,-0.026725784,0.47335905,1
290,-0.258693,0.04715821,0.35365444,-0.0022463277,-0.07454577,3
291,-0.12473039,-0.04660952,0.2693279,0.17996764,-0.0703882,2
292,-0.32115796,-0.048555955,0.16136916,0.05844441,0.042101786,0
293,-0.27255487,-0.09163132,0.25028902,0.07845481,-0.008617312,0
294,-0.25934374,-0.11628754,0.22865997,0.047408994,-0.004706923,0
295,-0.23914555,-0.038310118,0.37656945,-0.021547973,-0.105703354,3
296,-0.22529207,0.048418432,0.3886922,-0.044269506,-0.13488686,3
297,-0.093514115,-0.007877871,0.22301884,0.12976764,-0.09901706,2
298,-0.3023768,-0.08705899,0.26090568,0.014309019,-0.011168271,0
299,-0.28379723,0.15177104,0.53926086,-0.088309005,-0.22376204,3
300,-0.1309986,-0.015443899,0.20597573,0.0735441,-0.083081864,2
301,-0.30581942,0.116367236,0.4188166,-0.008637577,-0.10012801,3
302,-0.25482613,-0.06555645,0.18231468,0.06311501,-0.0110397935,0
303,-0.34132755,0.055615194,0.51929367,-0.15103878,-0.13653709,3
